year,file,size_bytes,size_mb,pages,sha256,source_url
2025,space-ii-2025-report.pdf,4302454,4.10,123,12b787d87a1b3a356ff3b228cf2c4c7ff75158977ab5d6ff13e72e06f850db2d,https://wp.unil.ch/space/files/2026/07/260630_space-ii_report-2025-.pdf
2024,space-ii-2024-report.pdf,4165761,3.97,123,309d4b8ae1e75fc536997cfa9cb7c7994f7a69a369dfd7eba07f35cad668d295,https://wp.unil.ch/space/files/2025/11/space-ii_report-2024_251105.pdf
2023,space-ii-2023-report.pdf,3901280,3.72,109,3a6f523369079718a8ec84b9a4ead2936a712587f4393d7df123319c36c79790,https://wp.unil.ch/space/files/2024/06/SPACE-II_2023_240618.pdf
2022,space-ii-2022-report.pdf,2010283,1.92,150,2cb9c28f520aac95feba27f8a302862c53afd6916db9563a3494e4dd70568557,https://wp.unil.ch/space/files/2023/07/SPACE-II_2022_230523.pdf
2021,space-ii-2021-report.pdf,3476836,3.32,149,463dcdba5a9e13290644b2d8589d69189cf5073340b816f4ce9a6e6160c07ba8,https://wp.unil.ch/space/files/2022/06/SPACE-II_2021_Final_report_220614.pdf
2020,space-ii-2020-report.pdf,3152646,3.01,133,b0a5c7226aa4c88eef28abf4fa84edc013cb6d01e2f074633a1976c8023defdc,https://wp.unil.ch/space/files/2022/06/SPACE-II_2020_Final_report_220615.pdf
2019,space-ii-2019-report.pdf,2997247,2.86,129,0cc794a47c135a7b87a26749fe13fcc4dec308cab2f885326249bd12778852b0,https://wp.unil.ch/space/files/2021/05/SPACE-II_Final_report_2019_210503.pdf
2018,space-ii-2018-report.pdf,2568265,2.45,107,3d2949d3dd54d7431e42384f3e18a3f9226d10a62a81329f73acd72c03307720,https://wp.unil.ch/space/files/2020/02/SPACE-II_report_2018_Final_200212_rev.pdf
2016,space-ii-2016-report.pdf,2302694,2.20,99,0db89c913a68a622978aeee2652f528278ebe5818c98d3b32938e64df42cc104,https://wp.unil.ch/space/files/2018/03/SPACE_II_report_2016_Final_100320.pdf
2015,space-ii-2015-report.pdf,1888316,1.80,94,7714920ac60ec4a731edd08325f09290409e116c6c8c81aeb5afece13487062b,https://wp.unil.ch/space/files/2011/02/SPACE-II_report_2015-Final-Report_170905.pdf
2014,space-ii-2014-report.pdf,2866970,2.73,94,1d0ac739da9739187ba92709117d8d54af5810118999bc5297c4bf51443c7545,https://wp.unil.ch/space/files/2016/05/SPACE-II_report_2014-final.pdf
2013,space-ii-2013-report.pdf,660219,0.63,86,86443443d2f2dd776e230ea5db5e44241d909dd01e60a85cf27087cc03fa4c5e,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-II-2013-E_Final_150205.pdf
2012,space-ii-2012-report.pdf,1473517,1.41,85,afb94f98c11018ff749ad592b4bedf566179441acfb3a4d13408abfadf48ebd4,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-II-2012_Final-report_140417.pdf
2011,space-ii-2011-report.pdf,547429,0.52,86,78068335ec6da7f8dd4fc7ca2b4e4ef39934250a0dd1a410fc18ad2a6923d79c,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-II-2011-E.pdf
2010,space-ii-2010-report.pdf,467119,0.45,72,d2db7a06462c3be57daaed39db18a6890ac97bf8a7d489ae531d78494708e9db,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-II-2010-E.pdf
2009,space-ii-2009-report.pdf,1256979,1.20,67,63631513d17de81fcc84a4b24a98c073b0259cc0c3a12bf2538a09b158cb94df,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-II-2009-E.pdf
2007,space-ii-2007-report.pdf,764162,0.73,59,8bc994902dcdb9337d71953540b46acbfb1a3120506718452b95b782f0ed1923,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-II-2007-E.pdf
2001,space-ii-2001-report.pdf,835574,0.80,44,980017ae485637422194b74d08b36eb786dcde3fad4fac8d9012a9739a1128f5,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-II-2001-E.pdf
1999,space-ii-1999-report.pdf,822790,0.78,30,bc29556003e8921060a50157a3b9decd167b9c584cd2376935ddb02f561dc482,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-II-1999-E.pdf
2025-spi,../space-i/space-i-2025-report.pdf,5487694,5.23,133,eeb6354c7581c5ad5df62310eade25cd968eb55c5db2b1e224e4727742a2f4f1,https://wp.unil.ch/space/files/2026/06/260626_rapport-space-i-2025.pdf
