category,year,file,size_bytes,size_mb,pages,sha256,source_url
space-i,2025,space-i/space-i-2025-report.pdf,5487694,5.23,133,eeb6354c7581c5ad5df62310eade25cd968eb55c5db2b1e224e4727742a2f4f1,https://wp.unil.ch/space/files/2026/06/260626_rapport-space-i-2025.pdf
space-i,2024,space-i/space-i-2024-report.pdf,6129250,5.85,132,222a5323cc60a737ff31ee461afc3108e0cb0e935a2ff2d98d5f48d93f06cdd5,https://wp.unil.ch/space/files/2025/09/250924_rapport-space-i-2024.pdf
space-i,2023,space-i/space-i-2023-report.pdf,6981100,6.66,132,6042dfd3ec9bdf5fdf1972ee64ca2069c7147318af08abbde2c36508228348db,https://wp.unil.ch/space/files/2025/04/space_i_2023_report.pdf
space-i,2022,space-i/space-i-2022-report.pdf,4256506,4.06,131,f87891aea189c543e5b63c332a3048dcfb5beea99f58ccebd57e0cd9a3df45fe,https://wp.unil.ch/space/files/2024/01/240111_SPACE-I_2022_FinalReport.pdf
space-i,2021,space-i/space-i-2021-report.pdf,4212401,4.02,132,4a5c9aa01bf8a65239c90b53325e12dde280e7160f34d209494fdbd48352896c,https://wp.unil.ch/space/files/2024/01/SPACE-I_2021_FinalReport.pdf
space-i,2020,space-i/space-i-2020-report.pdf,5360668,5.11,134,183a1b2e87d3e237ab0e79fa8694ee0e50b9dcc82826208f16b4af206cf1c559,https://wp.unil.ch/space/files/2021/04/210330_FinalReport_SPACE_I_2020.pdf
space-i,2019,space-i/space-i-2019-report.pdf,4700659,4.48,130,3ac7195e6faea72f45aaf7033d35bcb9e5b087128d4133ebb2b9088e0b64ad69,https://wp.unil.ch/space/files/2023/05/200405_FinalReport_SPACE_I_2019.pdf
space-i,2018,space-i/space-i-2018-report.pdf,5152933,4.91,115,e3fe7b0919d45cac7eb8e1752d662182819794038b6778ddda19540db91c8151,https://wp.unil.ch/space/files/2019/06/FinalReportSPACEI2018_190611-1.pdf
space-i,2016,space-i/space-i-2016-report.pdf,5759971,5.49,148,338f42a7ab6a1746abedb5b03820f3516c68a7cec0c19cedba56ace1b53b6ece,https://wp.unil.ch/space/files/2019/02/SPACE-I-2016-Final-Report_Updated_190207.1.pdf
space-i,2015,space-i/space-i-2015-report.pdf,7958007,7.59,141,da57cc38e63c977da98bf5e5c7e5171bca1e808624b3dc7a28b18ccd44d7a08d,https://wp.unil.ch/space/files/2017/04/SPACE_I_2015_FinalReport_161215_REV170425.pdf
space-i,2014,space-i/space-i-2014-report.pdf,6265321,5.98,150,06458706071d84a3cbaef37d4aec12fbe64a90fb9b787d697e3468eb372cbc24,https://wp.unil.ch/space/files/2019/02/SPACE-I-2014-Report_Updated_190129.2-1.pdf
space-i,2013,space-i/space-i-2013-report.pdf,3654043,3.48,194,867f32aab14213fb0e8a2645dc9b6b87804c39baf0833f74c1639fb397a3b5bd,https://wp.unil.ch/space/files/2015/02/SPACE-I-2013-English.pdf
space-i,2012,space-i/space-i-2012-report.pdf,3829781,3.65,177,f474024d6444061f55534c1dfaf7d0b0c6d13de4f88cc66fd76fe7d912eb002c,https://wp.unil.ch/space/files/2014/05/Council-of-Europe_SPACE-I-2012-E_Final_140507.pdf
space-i,2011,space-i/space-i-2011-report.pdf,3854928,3.68,165,764c0629ee91cde65e9622da2d596b46bd01c556d3a2f38ff30dde7fb49b95ba,https://wp.unil.ch/space/files/2015/02/SPACE1_2011_English.pdf
space-i,2010,space-i/space-i-2010-report.pdf,3302705,3.15,150,ce85380ccbed669d6712af2b1f9cd55a8063c090fb7de0d954e17036a0878c1c,https://wp.unil.ch/space/files/2014/04/SPACE1_2010_English.pdf
space-i,2009,space-i/space-i-2009-report.pdf,2719674,2.59,111,f6bfaf27c2bf5410df63d55501e3bf74a799ca76fbc39851748dd11cab0720d1,https://wp.unil.ch/space/files/2011/02/SPACE-1_2009_English2.pdf
space-i,2008,space-i/space-i-2008-report.pdf,3994419,3.81,111,86f6d73ed1aab23ef63b1c2388241f0ec3182436b7d7b81464f48b4894e1757c,https://wp.unil.ch/space/files/2011/02/SPACE-1_2008_English.pdf
space-i,2007,space-i/space-i-2007-report.pdf,4073783,3.89,99,4973b415f7166823811e28d22eb89876673aee059eac5976195224313fb7945e,https://wp.unil.ch/space/files/2011/02/SPACE-1_2007_English_rev.pdf
space-i,2006,space-i/space-i-2006-report.pdf,1375524,1.31,79,1716a61661ca5624239edf5eba189c0eab77bc2a5769a7a99c02df3dbc1d15a8,https://wp.unil.ch/space/files/2011/02/SPACE-1_2006_English_080122.pdf
space-i,2005,space-i/space-i-2005-report.pdf,704837,0.67,58,cd8f7d44120ad753829ac2df4ee2806eca37de9bced259eba7b72c64f37b8185,https://wp.unil.ch/space/files/2011/02/SPACE-1_2005_English.pdf
space-i,2004,space-i/space-i-2004-report.pdf,674708,0.64,69,8b271589ad25e6f15011fd2c0b24a228e84473633c7d66f409bb3bcfeacb4dda,https://wp.unil.ch/space/files/2011/02/SPACE-1_2004-_English.pdf
space-i,2003,space-i/space-i-2003-report.pdf,477254,0.46,51,b7bd0cfc486f54c6afcc76eec04aa78403d04bc467cfad6a0d4eb79033d72407,https://wp.unil.ch/space/files/2011/02/SPACE-1_2003-_English.pdf
space-i,2002,space-i/space-i-2002-report.pdf,274681,0.26,64,9d9a3ded98bfbef0f1c0fe818c1e9e75a3a252010561c963720ed7e278c42348,https://wp.unil.ch/space/files/2011/02/SPACE-1_2002_English_rev.pdf
space-i,2001,space-i/space-i-2001-report.pdf,565565,0.54,47,24d3187fbb6ef4669e191e7857cf94da512425fab005d846e466f7b21d892c11,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-I-2001-E.pdf
space-i,2000,space-i/space-i-2000-report.pdf,655793,0.63,57,dd0de66ca968103525f4a659c3920a7b9c95e16a15ad1ded368a608466482abd,https://wp.unil.ch/space/files/2011/02/Council-of-Europe_SPACE-I-2000-E.pdf
key-findings,2025,key-findings/key-findings-2025.pdf,2268295,2.16,43,df1fa9ac94917133e0679215044387dc941139caca746dcf1883ce1dbe9c6909,https://wp.unil.ch/space/files/2026/06/260626_key-findings-space-i_prisons-europe-2025.pdf
key-findings,2024,key-findings/key-findings-2024.pdf,2854646,2.72,42,fdf6e99158e00378a0835504b2e2b50ad1aa222cca801773c95f3e4270112012,https://wp.unil.ch/space/files/2025/07/250715_key-findings-space-i_prisons-europe-2024_full.pdf
key-findings,2023,key-findings/key-findings-2023.pdf,4087499,3.90,37,81e4e31a70892a31f0cfdb5db18c05ab1fa75b674a27b8e84de09e624a2aaeab,https://wp.unil.ch/space/files/2025/04/space_i_2023_key_findings.pdf
key-findings,2022,key-findings/key-findings-2022.pdf,2603491,2.48,35,d3d48556751f6639c4a76a94454fe96e848a9a89f9db25ec17d0ac9cd72f0db9,https://wp.unil.ch/space/files/2023/06/230626_Key-Findings-SPACE-I_Prisons-and-Prisoners-in-Europe-2022.pdf
key-findings,2021,key-findings/key-findings-2021.pdf,1200554,1.14,31,e93d426ae83d7e11bc053498878d0f7ea4d6f86c368c5cf0a94e78cb1ee449c9,https://wp.unil.ch/space/files/2023/04/230420_Key-Findings-SPACE-I_Prisons-and-Prisoners-in-Europe-2021.pdf
key-findings,2020,key-findings/key-findings-2020.pdf,1825413,1.74,30,f18c204dd15ca1a1b108949bbc5781afaf1a96b20615c8333034c45062a008df,https://wp.unil.ch/space/files/2021/06/210329_Key_Findings_SPACE_I_2020.pdf
key-findings,2019,key-findings/key-findings-2019.pdf,1367669,1.30,27,36070fda954d53b100e307b6336963580fedbda221f0d74cb49c11f6015a810f,https://wp.unil.ch/space/files/2021/12/Key-Findings-2019_200224-1.pdf
key-findings,2018,key-findings/key-findings-2018.pdf,1186014,1.13,16,80da458da408b96a9dfca49f6bf1c03cd31b7e2ce8fcbd87c9b338739f7beed1,https://wp.unil.ch/space/files/2020/02/Key-Findings-2018_190615.pdf
space-ii,2022,space-ii/space-ii-2022-report.pdf,2010283,1.92,150,2cb9c28f520aac95feba27f8a302862c53afd6916db9563a3494e4dd70568557,https://wp.unil.ch/space/files/2023/07/SPACE-II_2022_230523.pdf
